durch die Ausfilterung des ersten Arrays bleiben 36 mögliche Unternehmen übrig 

 "Harzgerode 01 GmbH"
"Metropole.immo AG"
"ID Reisen GmbH"
"VIKING AND VK GmbH"
"FUGI-TEC Spezialbau GmbH"
"Paul Paulus GmbH"
"KLARON Ostsee GmbH"
"Zurek UG (haftungsbeschränkt) &amp; Co. KG"
"Hartmann JCE GmbH"
"ESPOL Deutschland GmbH"
"Empormotion UG (haftungsbeschränkt)"
"FitPlusOst Betriebs-"
"Burg Pharma GmbH"
"Adelheid-IN gGmbH"
"Denkmal Konzepte GmbH"
"tri-meet GmbH"
"SP Jürgenshof GmbH &amp; Co. KG"
"CityDomizil GmbH"
"Green Power Nachhaltiges Bauen GmbH &amp; Co. KG"
"Metalcenter Group GmbH"
"Travel - Concept &amp; Design GmbH"
"PWD Sangerhausen UG (haftungsbeschränkt)"
"SELANO UG (haftungsbeschränkt)"
"GRUBER Electric GmbH"
"Texglobe UG (haftungsbeschränkt)"
"mse IT Development GmbH"
"Iron Design UG (haftungsbeschränkt)"
"EE Bloosballich GmbH &amp; Co. KG"
"Freiland Mahlpfuhl GmbH"
"EE Drei Hügel GmbH &amp; Co. KG"
"Dia-Doro gGmbH"
"Masterplast Nonwoven GmbH"
"Immotech Braunsbedra GmbH &amp; Co. KG"
"KWP Markt 13 - 17 GmbH &amp; Co. KG"
"KWP Härtelstraße GmbH &amp; Co. KG"
"Magdeburger Str. 27 GmbH"
