"ID Reisen GmbH"
"VIKING AND VK GmbH"
"ESPOL Deutschland GmbH"
"FitPlusOst Betriebs-"
"tri-meet GmbH"
"CityDomizil GmbH"
"Green Power Nachhaltiges Bauen GmbH &amp; Co. KG"
"Travel - Concept &amp; Design GmbH"
"PWD Sangerhausen UG (haftungsbeschränkt)"
"GRUBER Electric GmbH"
"mse IT Development GmbH"
"Iron Design UG (haftungsbeschränkt)"
"Masterplast Nonwoven GmbH"
"Immotech Braunsbedra GmbH &amp; Co. KG"
"KWP Markt 13 - 17 GmbH &amp; Co. KG"
"Magdeburger Str. 27 GmbH"
